ensemblID	symbol
ENSG00000107331	ABCA2
ENSG00000136518	ACTL6A
ENSG00000106546	AHR
ENSG00000156150	ALX3
ENSG00000196975	ANXA4
ENSG00000130203	APOE
ENSG00000067560	RHOA
ENSG00000142599	RERE
ENSG00000058668	ATP2B4
ENSG00000169594	BNC1
ENSG00000012048	BRCA1
ENSG00000185650	ZFP36L1
ENSG00000152518	ZFP36L2
ENSG00000124920	MYRF
ENSG00000145349	CAMK2D
ENSG00000124762	CDKN1A
ENSG00000153879	CEBPG
ENSG00000135346	CGA
ENSG00000104827	CGB3
ENSG00000153922	CHD1
ENSG00000173575	CHD2
ENSG00000170004	CHD3
ENSG00000111642	CHD4
ENSG00000053254	FOXN3
ENSG00000123975	CKS2
ENSG00000115966	ATF2
ENSG00000111269	CREBL2
ENSG00000167193	CRK
ENSG00000112062	MAPK14
ENSG00000257923	CUX1
ENSG00000145214	DGKQ
ENSG00000105516	DBP
ENSG00000108654	DDX5
ENSG00000135829	DHX9
ENSG00000157514	TSC22D3
ENSG00000143369	ECM1
ENSG00000146648	EGFR
ENSG00000109381	ELF2
ENSG00000135638	EMX1
ENSG00000170370	EMX2
ENSG00000141736	ERBB2
ENSG00000091831	ESR1
ENSG00000085276	MECOM
ENSG00000171634	BPTF
ENSG00000176165	FOXG1
ENSG00000178919	FOXE1
ENSG00000118689	FOXO3
ENSG00000170345	FOS
ENSG00000075426	FOSL2
ENSG00000089280	FUS
ENSG00000104064	GABPB1
ENSG00000108773	KAT2A
ENSG00000250571	GLI4
ENSG00000063515	GSC2
ENSG00000122034	GTF3A
ENSG00000116478	HDAC1
ENSG00000010818	HIVEP2
ENSG00000204859	ZBTB48
ENSG00000130675	MNX1
ENSG00000136630	HLX
ENSG00000189403	HMGB1
ENSG00000164104	HMGB2
ENSG00000205581	HMGN1
ENSG00000188816	HMX2
ENSG00000125798	FOXA2
ENSG00000101076	HNF4A
ENSG00000164749	HNF4G
ENSG00000106006	HOXA6
ENSG00000005073	HOXA11
ENSG00000106031	HOXA13
ENSG00000108511	HOXB6
ENSG00000172789	HOXC5
ENSG00000197757	HOXC6
ENSG00000180806	HOXC9
ENSG00000123407	HOXC12
ENSG00000128645	HOXD1
ENSG00000128713	HOXD11
ENSG00000170178	HOXD12
ENSG00000144381	HSPD1
ENSG00000170802	FOXN2
ENSG00000172201	ID4
ENSG00000135899	SP110
ENSG00000141568	FOXK2
ENSG00000122641	INHBA
ENSG00000171223	JUNB
ENSG00000130522	JUND
ENSG00000157404	KIT
ENSG00000166949	SMAD3
ENSG00000103495	MAZ
ENSG00000130382	MLLT1
ENSG00000171843	MLLT3
ENSG00000151623	NR3C2
ENSG00000020426	MNAT1
ENSG00000188786	MTF1
ENSG00000101057	MYBL2
ENSG00000136997	MYC
ENSG00000116990	MYCL
ENSG00000134323	MYCN
ENSG00000111049	MYF5
ENSG00000111046	MYF6
ENSG00000129152	MYOD1
ENSG00000129559	NEDD8
ENSG00000171532	NEUROD2
ENSG00000181965	NEUROG1
ENSG00000072736	NFATC3
ENSG00000123405	NFE2
ENSG00000001167	NFYA
ENSG00000120837	NFYB
ENSG00000066136	NFYC
ENSG00000111641	NOP2
ENSG00000147140	NONO
ENSG00000111596	CNOT2
ENSG00000181163	NPM1
ENSG00000145730	PAM
ENSG00000108518	PFN1
ENSG00000164093	PITX2
ENSG00000185668	POU3F1
ENSG00000184486	POU3F2
ENSG00000196767	POU3F4
ENSG00000212993	POU5F1B
ENSG00000112033	PPARD
ENSG00000132170	PPARG
ENSG00000108946	PRKAR1A
ENSG00000166501	PRKCB
ENSG00000123143	PKN1
ENSG00000137492	THAP12
ENSG00000087191	PSMC5
ENSG00000169403	PTAFR
ENSG00000164754	RAD21
ENSG00000101773	RBBP8
ENSG00000103479	RBL2
ENSG00000087903	RFX2
ENSG00000204256	BRD2
ENSG00000168779	SHOX2
ENSG00000080503	SMARCA2
ENSG00000127616	SMARCA4
ENSG00000099956	SMARCB1
ENSG00000173473	SMARCC1
ENSG00000139613	SMARCC2
ENSG00000066117	SMARCD1
ENSG00000108604	SMARCD2
ENSG00000082014	SMARCD3
ENSG00000073584	SMARCE1
